season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0033246,TE,5.6296,3.8750,0.1500,7.43 0.00 0.00 11.73 6.84 4.99 7.24 1.08 7.72 5.18 1.96 1.27 2.25 2.64 14.67 3.32 6.45 10.66 10.46 7.72 7.43 6.06 4.11 5.08 9.97 0.00 5.96 2.35 1.08 1.37 0.00 8.02 4.20 4.60 10.85 13.79 4.11 11.24 4.11 7.24
2024,3,00-0033251,WR,1.7837,1.1500,0.0250,0.00 2.16 0.00 4.63 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.16 0.00 4.74 0.00 8.30 1.62 2.26 0.00 2.48 0.00 3.56 0.00 2.80 0.00 0.00 0.00 0.00 1.29 1.72 2.26 3.02 3.99 1.94 12.83 5.82 0.00 1.72 2.05 0.00
2024,3,00-0033280,RB,21.0557,12.8750,1.0750,26.15 8.08 24.46 16.05 26.26 18.97 5.05 41.63 10.66 8.19 15.37 9.43 47.47 2.58 14.48 20.20 7.86 40.06 18.52 24.35 10.10 41.41 28.39 27.61 38.04 25.92 15.37 25.03 32.88 25.47 23.79 1.68 46.35 8.08 18.97 21.55 3.70 15.94 33.11 13.02
2024,3,00-0033282,WR,7.6451,4.5500,0.2250,7.41 4.83 1.68 16.83 4.94 2.24 15.37 6.51 9.65 0.00 15.82 0.00 6.51 9.65 14.36 4.26 15.94 6.28 10.66 25.14 11.11 4.71 6.06 1.12 0.00 5.95 1.23 6.85 24.80 0.00 6.51 16.72 0.79 8.98 3.59 13.92 3.14 0.00 8.53 3.70
2024,3,00-0033293,RB,12.9556,16.0750,0.4500,9.78 16.04 13.30 25.42 11.73 10.66 11.05 24.54 14.86 8.70 13.69 9.48 4.89 18.68 12.52 4.79 13.88 12.03 23.66 6.55 3.52 30.41 12.03 14.08 18.38 -0.20 5.87 20.14 12.71 9.58 8.60 7.33 22.20 6.06 28.55 11.24 11.24 10.17 15.55 4.50
2024,3,00-0033307,WR,5.0519,5.2750,0.0500,2.09 4.26 4.91 3.61 6.21 5.99 7.44 1.81 5.27 1.44 3.11 3.83 6.50 5.06 2.46 10.04 3.83 2.89 6.07 7.01 4.33 10.91 2.67 8.52 6.50 7.80 5.92 5.78 3.32 9.53 3.83 3.39 12.42 0.94 1.95 4.62 2.89 4.19 2.09 6.64
2024,3,00-0033357,TE,3.9483,2.8500,0.1000,2.06 2.98 1.72 7.78 -0.11 4.35 0.00 2.98 0.00 1.37 0.34 2.63 3.09 3.66 4.69 9.50 3.66 0.23 2.75 0.80 5.26 12.02 5.95 6.07 2.63 7.10 1.37 -0.11 2.86 8.35 0.11 2.63 4.92 18.77 8.35 1.26 5.26 7.32 0.00 3.32
2024,3,00-0033375,WR,6.1706,3.1250,0.0750,11.14 18.65 9.69 4.97 8.24 0.00 2.66 7.87 0.00 4.84 1.45 0.00 3.39 1.45 7.15 7.75 0.00 0.00 8.48 2.79 9.93 0.00 19.74 11.38 10.29 5.09 9.69 13.20 7.75 0.00 0.00 17.56 7.15 4.72 9.93 4.84 0.00 12.72 0.00 2.30
2024,3,00-0033376,RB,1.5353,0.9250,0.0250,0.00 2.72 11.98 0.00 0.00 0.00 2.07 3.05 3.70 4.68 0.00 0.00 0.00 0.00 0.00 4.25 0.00 0.00 0.00 1.96 0.00 4.90 1.63 0.00 0.00 0.00 0.00 3.38 0.00 3.81 0.00 0.00 1.63 0.00 0.00 4.46 1.52 1.42 0.00 4.25
2024,3,00-0033439,TE,1.7568,0.9750,0.0500,0.00 0.00 1.92 0.00 0.00 0.00 0.00 14.76 7.28 1.52 0.00 3.44 13.55 0.00 0.00 1.52 0.00 2.63 0.00 4.45 0.00 0.00 0.00 1.42 0.00 4.45 0.00 1.62 0.00 0.00 2.53 0.00 0.00 1.82 1.62 3.44 2.33 0.00 0.00 0.00
2024,3,00-0033526,RB,4.2439,2.5250,0.1750,0.87 0.00 3.48 1.42 3.81 2.72 0.00 0.00 0.00 6.64 15.03 4.03 2.61 2.07 2.40 0.00 6.32 7.51 3.05 0.00 0.54 1.31 1.63 10.02 8.60 18.62 1.96 2.94 12.74 4.25 2.72 10.24 1.42 5.77 6.42 1.09 5.66 0.00 9.58 2.29
2024,3,00-0033536,WR,7.7274,5.3250,0.1750,3.13 10.41 10.11 9.81 23.46 10.52 13.75 1.31 16.78 3.44 2.73 4.65 12.34 6.47 12.44 6.07 8.39 7.18 15.37 6.88 2.73 7.18 2.33 6.77 12.13 8.90 5.26 5.97 3.74 12.84 1.72 8.70 13.95 6.98 15.77 0.00 1.01 0.30 0.00 7.58
2024,3,00-0033537,QB,9.4656,1.9750,0.2000,6.41 14.18 2.95 3.56 17.92 17.92 9.04 13.47 11.61 2.12 8.54 12.34 4.35 14.54 9.89 18.24 11.15 6.68 5.64 6.09 8.23 5.00 14.36 9.49 9.97 8.66 3.14 10.44 7.97 6.53 8.70 10.03 11.99 13.79 18.45 5.95 7.83 11.53 6.23 3.70
2024,3,00-0033553,RB,15.8272,15.6000,0.8000,8.73 18.21 12.50 15.41 4.85 11.32 11.96 17.78 23.93 10.45 16.81 10.24 19.29 10.78 8.08 14.66 48.18 6.79 8.62 13.47 16.49 7.76 0.65 10.67 9.05 23.28 3.23 7.87 27.81 12.93 30.93 12.07 12.29 32.44 11.96 24.47 29.96 18.86 20.26 28.02
