season,week,gsisId,team,status,fetchedAt
2026,3,00-0039861,NYG,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039864,ARI,Out,2026-09-26T14:58:25.380Z
2026,3,00-0039874,MIA,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0039877,TB,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039890,NYJ,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039901,BUF,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039903,SEA,NA,2026-09-26T14:58:25.380Z
2026,3,00-0039906,WAS,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039910,WAS,Out,2026-09-26T14:58:25.380Z
2026,3,00-0039916,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039918,CHI,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0039921,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040073,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040116,KC,Out,2026-09-26T14:58:25.380Z
2026,3,00-0040118,KC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040120,KC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040125,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040127,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040130,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040135,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040162,CLE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040184,LAC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040186,NYJ,Out,2026-09-26T14:58:25.380Z
2026,3,00-0040192,BUF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040196,NYJ,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040197,BUF,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040211,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040212,LAC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040226,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040230,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040232,PIT,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040240,DEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040243,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040244,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040289,CAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040329,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040395,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040413,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040488,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040503,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040509,MIN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040570,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040581,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040582,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040644,CAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040649,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040652,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040660,SF,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040691,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040704,CLE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040711,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040716,NE,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0040721,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040724,BUF,Out,2026-09-26T14:58:25.380Z
2026,3,00-0040731,WAS,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040736,NYJ,Out,2026-09-26T14:58:25.380Z
2026,3,00-0040741,CHI,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040746,CAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040748,KC,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040751,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040853,IND,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040868,LV,Out,2026-09-26T14:58:25.380Z
2026,3,00-0040870,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040875,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040888,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040901,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040929,PHI,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0040938,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040953,KC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040955,KC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0040988,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041005,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041029,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041035,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041045,JAX,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0041047,CAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041087,CLE,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0041089,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041091,BUF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041099,NO,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041120,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041122,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041127,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041136,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041170,CHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041303,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041321,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041323,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041366,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041381,LAC,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0041390,NO,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041394,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041395,NE,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0041402,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041414,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041440,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041446,DET,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041463,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041483,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041496,DEN,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041502,TB,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041511,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041523,MIA,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041526,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041527,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041550,LAC,Out,2026-09-26T14:58:25.380Z
2026,3,00-0041553,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041555,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0041581,MIN,Out,2026-09-26T14:58:25.380Z
2026,3,THO581952,SF,Out,2026-09-26T14:58:25.380Z
