team,season,role,name
LAC,2019,HC,Anthony Lynn
LAC,2019,OC,Ken Whisenhunt
LAC,2020,HC,Anthony Lynn
LAC,2020,OC,Shane Steichen
LAC,2021,HC,Brandon Staley
LAC,2021,OC,Joe Lombardi
LAC,2022,HC,Brandon Staley
LAC,2022,OC,Joe Lombardi
LAC,2023,HC,Brandon Staley
LAC,2023,OC,Kellen Moore
LAC,2024,HC,Jim Harbaugh
LAC,2024,OC,Greg Roman
OAK,2015,HC,Jack Del Rio
OAK,2015,OC,Bill Musgrave
OAK,2016,HC,Jack Del Rio
OAK,2016,OC,Bill Musgrave
OAK,2017,HC,Jack Del Rio
OAK,2017,OC,Todd Downing
OAK,2018,HC,Jon Gruden
OAK,2018,OC,Greg Olson
OAK,2019,HC,Jon Gruden
OAK,2019,OC,Greg Olson
LV,2020,HC,Jon Gruden
LV,2020,OC,Greg Olson
LV,2021,HC,Jon Gruden
LV,2021,OC,Greg Olson
LV,2022,HC,Josh McDaniels
LV,2022,OC,Mick Lombardi
LV,2023,HC,Josh McDaniels
LV,2023,OC,Mick Lombardi
LV,2024,HC,Antonio Pierce
LV,2024,OC,Luke Getsy
MIA,2015,HC,Joe Philbin
MIA,2015,OC,Bill Lazor
MIA,2016,HC,Adam Gase
MIA,2016,OC,Clyde Christensen
MIA,2017,HC,Adam Gase
MIA,2017,OC,Clyde Christensen
MIA,2018,HC,Adam Gase
MIA,2018,OC,Dowell Loggains
MIA,2019,HC,Brian Flores
MIA,2019,OC,Chad O'Shea
MIA,2020,HC,Brian Flores
MIA,2020,OC,Chan Gailey
MIA,2021,HC,Brian Flores
MIA,2021,OC,Eric Studesville / George Godsey
MIA,2022,HC,Mike McDaniel
MIA,2022,OC,Frank Smith
MIA,2023,HC,Mike McDaniel
MIA,2023,OC,Frank Smith
MIA,2024,HC,Mike McDaniel
MIA,2024,OC,Frank Smith
MIN,2015,HC,Mike Zimmer
MIN,2015,OC,Norv Turner
MIN,2016,HC,Mike Zimmer
MIN,2016,OC,Norv Turner
MIN,2017,HC,Mike Zimmer
MIN,2017,OC,Pat Shurmur
MIN,2018,HC,Mike Zimmer
MIN,2018,OC,John DeFilippo
MIN,2019,HC,Mike Zimmer
MIN,2019,OC,Kevin Stefanski
MIN,2020,HC,Mike Zimmer
MIN,2020,OC,Gary Kubiak
MIN,2021,HC,Mike Zimmer
MIN,2021,OC,Klint Kubiak
MIN,2022,HC,Kevin O'Connell
MIN,2022,OC,Wes Phillips
MIN,2023,HC,Kevin O'Connell
MIN,2023,OC,Wes Phillips
MIN,2024,HC,Kevin O'Connell
MIN,2024,OC,Wes Phillips
NE,2015,HC,Bill Belichick
NE,2015,OC,Josh McDaniels
NE,2016,HC,Bill Belichick
NE,2016,OC,Josh McDaniels
NE,2017,HC,Bill Belichick
NE,2017,OC,Josh McDaniels
NE,2018,HC,Bill Belichick
NE,2018,OC,Josh McDaniels
NE,2019,HC,Bill Belichick
NE,2019,OC,Josh McDaniels
NE,2020,HC,Bill Belichick
NE,2020,OC,Josh McDaniels
NE,2021,HC,Bill Belichick
NE,2021,OC,Josh McDaniels
NE,2022,HC,Bill Belichick
NE,2022,OC,Bill Belichick
NE,2023,HC,Bill Belichick
NE,2023,OC,Bill O'Brien
NE,2024,HC,Jerod Mayo
NE,2024,OC,Alex Van Pelt
NO,2015,HC,Sean Payton
NO,2015,OC,Pete Carmichael
NO,2016,HC,Sean Payton
NO,2016,OC,Pete Carmichael
NO,2017,HC,Sean Payton
NO,2017,OC,Pete Carmichael
NO,2018,HC,Sean Payton
NO,2018,OC,Pete Carmichael
NO,2019,HC,Sean Payton
NO,2019,OC,Pete Carmichael
NO,2020,HC,Sean Payton
NO,2020,OC,Pete Carmichael
NO,2021,HC,Sean Payton
NO,2021,OC,Pete Carmichael
NO,2022,HC,Dennis Allen
NO,2022,OC,Pete Carmichael
NO,2023,HC,Dennis Allen
NO,2023,OC,Pete Carmichael
NO,2024,HC,Dennis Allen
NO,2024,OC,Klint Kubiak
NYG,2015,HC,Tom Coughlin
NYG,2015,OC,Ben McAdoo
NYG,2016,HC,Ben McAdoo
NYG,2016,OC,Mike Sullivan
NYG,2017,HC,Ben McAdoo
NYG,2017,OC,Mike Sullivan
NYG,2018,HC,Pat Shurmur
NYG,2018,OC,Mike Shula
NYG,2019,HC,Pat Shurmur
NYG,2019,OC,Mike Shula
NYG,2020,HC,Joe Judge
NYG,2020,OC,Jason Garrett
NYG,2021,HC,Joe Judge
NYG,2021,OC,Jason Garrett
NYG,2022,HC,Brian Daboll
NYG,2022,OC,Mike Kafka
NYG,2023,HC,Brian Daboll
NYG,2023,OC,Mike Kafka
NYG,2024,HC,Brian Daboll
NYG,2024,OC,Mike Kafka
NYJ,2015,HC,Todd Bowles
NYJ,2015,OC,Chan Gailey
NYJ,2016,HC,Todd Bowles
NYJ,2016,OC,Chan Gailey
NYJ,2017,HC,Todd Bowles
NYJ,2017,OC,John Morton
