season,week,playerId,position,points,touches,tds
2024,3,00-0037801,WR,1.3544,1.2500,0.0500
2024,3,00-0037805,TE,1.2816,1.1750,0.0250
2024,3,00-0037809,TE,4.8156,4.0500,0.0750
2024,3,00-0037816,WR,5.7913,5.0250,0.1250
2024,3,00-0037827,RB,0.7853,1.5500,0.0250
2024,3,00-0037834,QB,19.8319,1.3250,0.1000
2024,3,00-0037837,WR,2.9033,2.0000,0.1750
2024,3,00-0037838,TE,10.1866,5.2500,0.3750
2024,3,00-0037840,RB,11.9264,17.5500,0.6250
2024,3,00-0038040,RB,6.4256,10.0750,0.2250
2024,3,00-0038041,TE,10.3602,5.4250,0.3250
2024,3,00-0038104,WR,2.3021,2.5250,0.1000
2024,3,00-0038115,TE,1.0850,1.2750,0.0000
2024,3,00-0038117,WR,3.8115,5.6750,0.0500
2024,3,00-0038120,RB,17.6034,19.9000,0.8250
2024,3,00-0038124,WR,5.2360,4.6500,0.1750
2024,3,00-0038129,TE,4.1359,3.5500,0.0500
2024,3,00-0038389,RB,1.1881,1.4500,0.0500
2024,3,00-0038393,WR,5.1756,3.6000,0.2000
2024,3,00-0038394,TE,2.4401,1.9250,0.0250
2024,3,00-0038396,RB,0.8068,2.0500,0.0250
2024,3,00-0038454,RB,3.5471,2.8750,0.1000
2024,3,00-0038542,RB,18.4876,21.7000,0.8500
2024,3,00-0038543,WR,10.7582,6.6500,0.3500
2024,3,00-0038544,WR,5.4817,6.4000,0.1250
2024,3,00-0038547,TE,2.7063,1.9750,0.0750
2024,3,00-0038551,RB,2.6093,3.3500,0.0750
2024,3,00-0038555,RB,0.5194,1.7000,0.0000
2024,3,00-0038559,WR,5.3027,2.8000,0.1750
2024,3,00-0038563,WR,1.9894,1.7250,0.0500
2024,3,00-0038564,TE,3.6490,2.0000,0.0750
2024,3,00-0038589,TE,1.5933,1.4000,0.1000
2024,3,00-0038597,RB,6.3992,6.4000,0.1500
2024,3,00-0038606,WR,2.8806,1.9750,0.0750
2024,3,00-0038611,RB,2.3699,3.5500,0.1250
2024,3,00-0038619,WR,4.1700,2.8000,0.1250
2024,3,00-0038621,WR,5.0917,4.5000,0.2250
2024,3,00-0038622,RB,1.5947,2.2000,0.0750
2024,3,00-0038636,RB,7.0929,7.6250,0.2500
2024,3,00-0038678,RB,1.0729,1.0750,0.0500
2024,3,00-0038685,RB,1.5602,2.2750,0.1000
2024,3,00-0038705,RB,3.4112,3.1500,0.1250
2024,3,00-0038720,TE,0.3292,0.5000,0.0000
2024,3,00-0038752,WR,2.1410,1.0250,0.0750
2024,3,00-0038794,RB,4.8166,7.7250,0.2500
2024,3,00-0038797,RB,1.5621,2.8500,0.0750
2024,3,00-0038933,TE,10.9024,4.5750,0.4750
2024,3,00-0038935,TE,2.3233,2.1000,0.0500
2024,3,00-0038938,WR,1.1427,1.3750,0.0750
2024,3,00-0038941,WR,1.1851,0.9000,0.0750
2024,3,00-0038951,RB,1.7179,2.4500,0.1000
2024,3,00-0038976,WR,1.2861,1.4250,0.0000
2024,3,00-0038977,WR,14.2027,9.2000,0.5500
2024,3,00-0038979,WR,2.2201,2.0250,0.0250
2024,3,00-0038997,WR,5.3721,4.1250,0.0750
2024,3,00-0039021,RB,3.8756,4.7750,0.2000
2024,3,00-0039032,RB,3.6800,5.7000,0.1000
2024,3,00-0039040,RB,14.5125,16.4000,0.7500
2024,3,00-0039041,TE,2.8292,1.3250,0.0750
2024,3,00-0039050,TE,1.4079,1.1500,0.0250
2024,3,00-0039052,WR,2.1054,2.3750,0.0250
2024,3,00-0039062,WR,2.5262,4.2750,0.0000
2024,3,00-0039064,WR,14.5448,8.3500,0.4000
2024,3,00-0039065,TE,8.4414,3.9750,0.2250
2024,3,00-0039066,TE,2.1739,1.8000,0.0500
2024,3,00-0039067,WR,12.6774,6.1500,0.4250
2024,3,00-0039075,WR,14.9893,10.4250,0.3000
2024,3,00-0039139,RB,15.0814,14.0250,0.5500
2024,3,00-0039144,TE,3.5001,2.8500,0.1000
2024,3,00-0039146,WR,8.6284,6.3000,0.3750
2024,3,00-0039150,QB,7.8875,2.0500,0.0750
2024,3,00-0039152,QB,10.2942,1.9250,0.0500
2024,3,00-0039163,QB,19.8149,4.8000,0.0250
2024,3,00-0039164,QB,12.1549,1.7000,0.0750
2024,3,00-0039165,RB,12.6212,18.9250,0.4250
2024,3,00-0039325,RB,1.4319,2.1000,0.0750
2024,3,00-0039337,WR,8.5155,9.6250,0.2250
2024,3,00-0039338,TE,7.3558,5.0750,0.1500
2024,3,00-0039342,WR,6.2292,5.8750,0.1750
2024,3,00-0039344,RB,8.3222,11.5250,0.4750
2024,3,00-0039355,WR,2.8939,2.2750,0.0750
2024,3,00-0039356,TE,1.8553,1.7250,0.0500
2024,3,00-0039359,TE,2.6773,1.8250,0.0750
2024,3,00-0039361,RB,9.8348,9.3500,0.4750
2024,3,00-0039363,RB,3.1114,2.6750,0.0750
2024,3,00-0039364,RB,5.4500,3.9250,0.2500
2024,3,00-0039365,WR,2.6989,1.6500,0.0500
2024,3,00-0039373,RB,4.3777,5.8750,0.1750
2024,3,00-0039384,RB,4.4100,6.6000,0.2250
2024,3,00-0039385,RB,2.9301,3.5750,0.0500
2024,3,00-0039386,WR,2.8926,1.5000,0.1000
2024,3,00-0039391,RB,5.1865,6.2000,0.1500
2024,3,00-0039392,WR,1.5022,1.4250,0.0500
2024,3,00-0039393,RB,2.9861,2.8750,0.1750
2024,3,00-0039394,WR,2.2408,1.2500,0.0750
2024,3,00-0039407,RB,6.1198,6.1500,0.2000
2024,3,00-0039415,WR,2.7207,2.4000,0.1250
2024,3,00-0039424,WR,2.2521,2.7250,0.0250
2024,3,00-0039437,WR,3.3037,2.6000,0.1000
2024,3,00-0039703,RB,0.5561,0.4500,0.0250
2024,3,00-0039732,QB,10.3642,3.2000,0.1000
2024,3,00-0039737,TE,2.9989,1.7000,0.0750
2024,3,00-0039738,RB,6.9407,8.5500,0.2250
2024,3,00-0039739,WR,3.1287,2.3750,0.1250
2024,3,00-0039746,RB,4.7740,4.2000,0.1500
2024,3,00-0039751,WR,1.8651,1.4500,0.0500
2024,3,00-0039754,TE,2.1777,1.3750,0.0250
2024,3,00-0039792,WR,2.1016,1.4750,0.0250
2024,3,00-0039793,TE,4.1607,2.5750,0.1500
2024,3,00-0039794,RB,5.2881,4.5250,0.1750
2024,3,00-0039796,RB,3.2531,2.9500,0.1250
2024,3,00-0039798,RB,2.6971,2.4750,0.0750
2024,3,00-0039810,WR,3.3081,1.5750,0.1000
2024,3,00-0039811,RB,4.3520,5.3000,0.2250
2024,3,00-0039814,TE,3.6588,1.6250,0.0500
2024,3,00-0039847,TE,2.1805,2.0750,0.0750
2024,3,00-0039849,WR,11.2224,8.7250,0.1500
2024,3,00-0039853,WR,2.5675,2.6750,0.1000
2024,3,00-0039855,WR,3.2343,2.3750,0.0750
2024,3,00-0039868,WR,1.6886,1.9250,0.0500
2024,3,00-0039874,RB,5.9458,7.4250,0.3250
2024,3,00-0039875,RB,11.6459,9.6500,0.4500
2024,3,00-0039884,WR,0.7604,0.8000,0.0000
2024,3,00-0039890,WR,6.5563,4.7750,0.1250
2024,3,00-0039893,WR,11.1232,8.3250,0.3500
2024,3,00-0039894,WR,7.6059,4.8250,0.1250
2024,3,00-0039901,WR,8.0239,4.7750,0.2250
2024,3,00-0039907,WR,3.6562,3.7500,0.1250
2024,3,00-0039910,QB,11.4867,2.2000,0.0500
2024,3,00-0039912,TE,2.7527,2.1500,0.1000
