season,week,gsisId
2026,1,00-0035935
2026,1,00-0035939
2026,1,00-0035947
2026,1,00-0035956
2026,1,00-0035957
2026,1,00-0035973
2026,1,00-0035976
2026,1,00-0035978
2026,1,00-0035987
2026,1,00-0035988
2026,1,00-0035993
2026,1,00-0036000
2026,1,00-0036005
2026,1,00-0036006
2026,1,00-0036008
2026,1,00-0036020
2026,1,00-0036022
2026,1,00-0036023
2026,1,00-0036027
2026,1,00-0036032
2026,1,00-0036033
2026,1,00-0036034
2026,1,00-0036052
2026,1,00-0036059
2026,1,00-0036069
2026,1,00-0036078
2026,1,00-0036080
2026,1,00-0036083
2026,1,00-0036092
2026,1,00-0036096
2026,1,00-0036100
2026,1,00-0036110
2026,1,00-0036111
2026,1,00-0036117
2026,1,00-0036129
2026,1,00-0036133
2026,1,00-0036136
2026,1,00-0036140
2026,1,00-0036142
2026,1,00-0036145
2026,1,00-0036154
2026,1,00-0036165
2026,1,00-0036173
2026,1,00-0036176
2026,1,00-0036182
2026,1,00-0036183
2026,1,00-0036194
2026,1,00-0036196
2026,1,00-0036197
2026,1,00-0036208
2026,1,00-0036212
2026,1,00-0036219
2026,1,00-0036225
2026,1,00-0036226
2026,1,00-0036228
2026,1,00-0036232
2026,1,00-0036233
2026,1,00-0036245
2026,1,00-0036247
2026,1,00-0036250
2026,1,00-0036251
2026,1,00-0036254
2026,1,00-0036255
2026,1,00-0036261
2026,1,00-0036268
2026,1,00-0036269
2026,1,00-0036271
2026,1,00-0036277
2026,1,00-0036278
2026,1,00-0036279
2026,1,00-0036297
2026,1,00-0036301
2026,1,00-0036308
2026,1,00-0036312
2026,1,00-0036326
2026,1,00-0036328
2026,1,00-0036332
2026,1,00-0036336
2026,1,00-0036340
2026,1,00-0036345
2026,1,00-0036357
2026,1,00-0036360
2026,1,00-0036364
2026,1,00-0036365
2026,1,00-0036370
2026,1,00-0036377
2026,1,00-0036382
2026,1,00-0036383
2026,1,00-0036384
2026,1,00-0036387
2026,1,00-0036398
2026,1,00-0036412
2026,1,00-0036414
2026,1,00-0036415
2026,1,00-0036423
2026,1,00-0036424
2026,1,00-0036425
2026,1,00-0036427
2026,1,00-0036433
2026,1,00-0036435
2026,1,00-0036438
2026,1,00-0036439
2026,1,00-0036449
2026,1,00-0036450
2026,1,00-0036453
2026,1,00-0036456
2026,1,00-0036457
2026,1,00-0036463
2026,1,00-0036470
2026,1,00-0036471
2026,1,00-0036474
2026,1,00-0036482
2026,1,00-0036491
2026,1,00-0036493
2026,1,00-0036495
2026,1,00-0036497
2026,1,00-0036510
2026,1,00-0036519
2026,1,00-0036523
2026,1,00-0036526
2026,1,00-0036527
2026,1,00-0036534
2026,1,00-0036536
2026,1,00-0036541
2026,1,00-0036543
2026,1,00-0036548
2026,1,00-0036556
2026,1,00-0036565
2026,1,00-0036567
2026,1,00-0036569
2026,1,00-0036571
2026,1,00-0036572
2026,1,00-0036578
2026,1,00-0036582
2026,1,00-0036583
2026,1,00-0036598
2026,1,00-0036620
2026,1,00-0036627
2026,1,00-0036635
2026,1,00-0036640
2026,1,00-0036646
2026,1,00-0036647
2026,1,00-0036650
2026,1,00-0036652
2026,1,00-0036654
2026,1,00-0036657
2026,1,00-0036669
2026,1,00-0036670
2026,1,00-0036671
2026,1,00-0036676
2026,1,00-0036679
2026,1,00-0036691
2026,1,00-0036692
