season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,ARI,TEN,1,10,44,25,266,run,00-0033553,,,,1,0,0,,,,,,
2021,1,ARI,TEN,2,9,43,25,224,run,00-0033553,,,,1,0,1,,,,,,
2021,1,ARI,TEN,3,8,42,25,175,run,00-0035228,,,,1,0,1,,,,,,
2021,1,TEN,ARI,1,10,97,-25,115,run,00-0033955,,,,8,0,0,,,,,,
2021,1,TEN,ARI,2,2,89,-25,72,run,00-0033955,,,,1,0,1,,,,,,
2021,1,TEN,ARI,3,1,88,-25,26,run,00-0036698,,,,2,0,1,,,,,,
2021,1,LV,BAL,1,10,75,0,3600,pass,00-0031610,00-0031280,6,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,10,75,0,3596,pass,00-0035125,00-0031280,5,1,9,0,1,,,,,,4
2021,1,LV,BAL,3,1,66,0,3553,run,00-0032268,,,,31,0,1,,,,,,
2021,1,LV,BAL,1,10,35,0,3491,run,00-0033118,,,,-1,0,0,,,,,,
2021,1,LV,BAL,2,11,36,0,3459,run,00-0031280,,,,2,0,1,,,,,,
2021,1,LV,BAL,3,9,34,0,3416,pass,00-0031610,00-0031280,7,1,13,0,1,,,,,,6
2021,1,LV,BAL,1,10,21,0,3381,run,00-0035700,,,,3,0,0,,,,,,
2021,1,LV,BAL,1,17,28,0,3360,pass,00-0034983,00-0031280,24,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,17,28,0,3355,pass,00-0035700,00-0031280,6,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,17,28,0,3351,run,00-0031280,,,,0,0,1,,,,,,
2021,1,BAL,LV,1,10,92,0,3329,run,00-0036457,,,,3,0,0,,,,,,
2021,1,BAL,LV,2,7,89,0,3291,run,00-0034796,,,,18,0,0,,,,,,
2021,1,BAL,LV,1,10,71,0,3249,pass,00-0036457,00-0034796,-5,1,2,0,1,,,,,,7
2021,1,BAL,LV,2,8,69,0,3216,run,00-0034796,,,,2,0,1,,,,,,
2021,1,BAL,LV,3,6,67,0,3170,pass,00-0031325,00-0034796,7,1,8,0,1,,,,,,1
2021,1,BAL,LV,1,15,64,0,3110,pass,00-0034753,00-0034796,8,0,0,0,1,,,,,,0
2021,1,BAL,LV,2,15,64,0,3105,run,00-0034164,,,,2,0,1,,,,,,
2021,1,BAL,LV,3,13,62,0,3062,pass,,00-0034796,0,0,-6,0,1,,,,,,0
2021,1,LV,BAL,1,10,76,0,3014,pass,00-0031610,00-0031280,23,0,0,0,0,,,,,,0
2021,1,LV,BAL,2,10,76,0,3009,pass,00-0031610,00-0031280,35,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,10,76,0,3003,pass,00-0031610,00-0031280,20,0,0,0,1,,,,,,0
2021,1,BAL,LV,1,10,65,0,2986,pass,00-0035662,00-0034796,-2,1,0,0,1,,,,,,2
2021,1,BAL,LV,2,10,65,0,2943,pass,00-0036457,00-0034796,2,1,21,0,1,,,,,,19
2021,1,BAL,LV,1,10,44,0,2902,run,00-0036457,,,,3,0,1,,,,,,
2021,1,BAL,LV,2,7,41,0,2859,pass,00-0031325,00-0034796,5,0,0,0,1,,,,,,0
2021,1,BAL,LV,3,7,41,0,2855,pass,00-0034753,00-0034796,6,1,6,0,1,,,,,,0
2021,1,BAL,LV,4,1,35,0,2814,run,00-0036457,,,,35,1,1,,,,,,
2021,1,LV,BAL,1,10,85,-7,2802,run,00-0035700,,,,13,0,0,,,,,,
2021,1,LV,BAL,1,10,72,-7,2766,run,00-0035700,,,,0,0,0,,,,,,
