season,player,team,situation,touches,scores,yards,teamPlays
2021,00-0033536,LAC,thirdAndMedium,11,1,102,69
2021,00-0036988,LAC,earlyAndLong,20,0,164,525
2021,00-0033699,LAC,insideTen,17,5,56,70
2021,00-0036355,LAC,insideTen,3,2,19,70
2021,00-0035414,LAC,insideTen,3,1,9,70
2021,00-0031260,WAS,earlyAndLong,14,0,117,518
2021,00-0031800,WAS,earlyDown,5,0,17,134
2021,00-0031800,WAS,earlyAndLong,21,0,179,518
2021,00-0035659,WAS,earlyDown,17,0,97,134
2021,00-0035659,WAS,earlyAndLong,66,1,749,518
2021,00-0035659,WAS,thirdAndMedium,10,0,40,54
2021,00-0027061,LAC,thirdAndMedium,8,0,30,69
2021,00-0027061,LAC,thirdAndLong,11,0,59,81
2021,00-0033536,LAC,redZone,11,3,71,112
2021,00-0034440,LAC,redZone,16,1,87,112
2021,00-0030279,LAC,thirdAndLong,20,0,230,81
2021,00-0035329,LAC,goalLine,3,0,2,44
2021,00-0033536,LAC,goalLine,4,1,5,44
2021,00-0036755,WAS,earlyAndLong,45,0,174,518
2021,00-0036755,WAS,earlyDown,15,0,74,134
2021,00-0032009,WAS,earlyAndLong,23,0,149,518
2021,00-0031800,WAS,thirdAndLong,5,0,21,87
2021,00-0033536,LAC,thirdAndLong,9,1,159,81
2021,00-0035657,NE,earlyAndLong,140,0,664,551
2021,00-0033858,NE,earlyDown,5,0,21,127
2021,00-0031062,NE,earlyAndLong,9,0,46,551
2021,00-0031062,NE,thirdAndLong,3,0,38,73
2021,00-0036613,MIA,earlyAndLong,67,0,616,540
2021,00-0035311,MIA,earlyAndLong,130,0,512,540
2021,00-0035311,MIA,thirdAndMedium,8,0,57,82
2021,00-0034798,MIA,earlyDown,6,0,48,149
2021,00-0036020,MIA,earlyAndLong,45,0,180,540
2021,00-0035311,MIA,redZone,15,0,28,69
2021,00-0036212,MIA,goalLine,3,3,5,35
2021,00-0031549,NE,earlyAndLong,44,1,362,551
2021,00-0036875,NE,earlyDown,31,0,127,127
2021,00-0034960,NE,thirdAndShort,8,0,69,39
2021,00-0036875,NE,earlyAndLong,92,0,537,551
2021,00-0034829,MIA,earlyAndLong,53,0,336,540
2021,00-0035657,NE,earlyDown,33,1,187,127
2021,00-0035657,NE,thirdAndShort,4,0,6,39
2021,00-0033858,NE,earlyAndLong,33,0,272,551
2021,00-0034960,NE,earlyAndLong,59,0,455,551
2021,00-0034960,NE,thirdAndLong,17,0,151,73
2021,00-0033858,NE,redZone,6,0,22,99
2021,00-0031547,MIA,earlyAndLong,37,0,309,540
2021,00-0036613,MIA,thirdAndLong,17,0,139,78
2021,00-0034960,NE,earlyDown,10,0,54,127
2021,00-0031549,NE,thirdAndMedium,4,0,13,63
2021,00-0036020,MIA,earlyDown,20,0,41,149
2021,00-0034829,MIA,thirdAndMedium,17,0,78,82
2021,00-0035657,NE,insideTen,19,3,69,58
2021,00-0031547,MIA,earlyDown,7,0,25,149
2021,00-0035311,MIA,earlyDown,30,1,125,149
2021,00-0033119,MIA,thirdAndShort,3,0,6,35
2021,00-0030669,MIA,earlyDown,8,0,36,149
2021,00-0034798,MIA,earlyAndLong,25,0,242,540
2021,00-0031547,MIA,thirdAndLong,7,0,62,78
