season,kind,yardline,togo,down,call,length,made
2021,play,40,25,2,pass,0,0
2021,play,40,25,3,pass,0,0
2021,play,30,15,4,pass,0,0
2021,play,70,10,1,run,0,0
2021,play,65,5,2,run,0,0
2021,play,57,10,1,run,0,0
2021,play,33,10,1,run,0,0
2021,play,28,5,2,run,0,0
2021,play,36,13,3,pass,0,0
2021,play,31,20,1,pass,0,0
2021,play,22,11,2,run,0,0
2021,play,20,9,3,run,0,0
2021,play,5,5,1,pass,0,0
2021,play,5,5,2,run,0,0
2021,play,2,2,3,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,70,5,2,pass,0,0
2021,play,64,10,1,pass,0,0
2021,play,64,10,2,pass,0,0
2021,play,64,10,3,pass,0,0
2021,play,64,10,4,pass,0,0
2021,play,27,10,1,run,0,0
2021,play,24,7,2,run,0,0
2021,play,75,10,1,run,0,0
2021,play,73,8,2,pass,0,0
2021,play,65,10,1,run,0,0
2021,play,59,4,2,pass,0,0
2021,play,45,10,1,pass,0,0
2021,play,45,10,2,run,0,0
2021,play,38,3,3,pass,0,0
2021,play,22,10,1,run,0,0
2021,play,23,11,2,pass,0,0
2021,play,23,11,3,pass,0,0
2021,play,15,3,4,pass,0,0
2021,play,10,10,1,run,0,0
2021,play,4,4,2,run,0,0
2021,play,1,0,0,run,0,0
2021,play,81,10,1,run,0,0
2021,play,83,12,2,pass,0,0
2021,play,66,10,1,run,0,0
2021,play,62,6,2,pass,0,0
2021,play,53,10,1,pass,0,0
2021,play,42,10,1,pass,0,0
2021,play,18,10,1,run,0,0
2021,play,14,6,2,pass,0,0
2021,play,19,11,3,pass,0,0
2021,kick,10,0,0,,28,1
2021,play,75,10,1,pass,0,0
2021,play,31,10,1,pass,0,0
2021,play,14,10,1,run,0,0
2021,play,12,8,2,pass,0,0
2021,play,9,5,3,run,0,0
2021,play,5,1,4,run,0,0
2021,play,75,10,1,pass,0,0
2021,play,67,2,2,run,0,0
2021,play,66,1,3,run,0,0
2021,play,64,10,1,pass,0,0
2021,play,65,11,2,pass,0,0
2021,play,61,7,3,pass,0,0
2021,play,50,10,1,pass,0,0
2021,play,50,10,2,pass,0,0
2021,play,44,4,3,pass,0,0
2021,play,22,10,1,pass,0,0
2021,play,3,3,1,pass,0,0
2021,play,5,5,2,run,0,0
2021,play,86,15,1,pass,0,0
2021,play,77,6,2,run,0,0
2021,play,60,10,1,pass,0,0
2021,play,50,10,1,pass,0,0
2021,play,41,1,2,run,0,0
2021,play,18,10,1,run,0,0
2021,play,82,10,1,pass,0,0
2021,play,73,1,2,pass,0,0
2021,play,45,10,1,pass,0,0
2021,play,45,10,2,pass,0,0
2021,play,45,10,3,pass,0,0
2021,play,99,10,1,run,0,0
2021,play,94,5,2,run,0,0
2021,play,79,10,1,pass,0,0
2021,play,36,10,1,pass,0,0
2021,play,36,10,2,pass,0,0
2021,play,46,20,3,pass,0,0
2021,play,57,31,4,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,72,7,2,run,0,0
2021,play,68,3,3,pass,0,0
2021,play,62,10,1,run,0,0
2021,play,58,6,2,pass,0,0
2021,play,51,10,1,pass,0,0
2021,play,51,10,2,pass,0,0
2021,play,39,10,1,pass,0,0
2021,play,39,10,2,run,0,0
2021,play,36,7,3,run,0,0
2021,play,28,10,1,run,0,0
2021,play,19,1,2,pass,0,0
2021,play,13,10,1,run,0,0
2021,play,11,8,2,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,69,4,2,run,0,0
2021,play,52,10,1,run,0,1
2021,play,53,10,1,run,0,0
2021,play,52,9,2,pass,0,0
2021,play,44,1,3,run,0,0
2021,play,42,10,1,run,0,0
2021,play,37,5,2,pass,0,0
2021,play,34,2,3,pass,0,0
2021,play,20,10,1,run,0,0
2021,play,16,6,2,pass,0,0
2021,play,25,15,3,pass,0,0
2021,kick,25,0,0,,43,1
2021,play,75,10,1,pass,0,0
2021,play,64,10,1,run,0,0
2021,play,62,8,2,pass,0,0
2021,play,53,10,1,run,0,0
2021,play,47,4,2,pass,0,0
2021,play,17,10,1,run,0,0
2021,play,10,3,2,run,0,0
2021,play,4,4,1,run,0,0
2021,play,2,2,2,run,0,0
2021,play,75,10,1,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,81,16,2,pass,0,0
2021,play,77,12,3,pass,0,0
2021,play,77,12,4,run,0,0
2021,play,15,10,1,run,0,0
2021,play,8,3,2,run,0,0
2021,play,8,3,3,pass,0,0
2021,play,2,0,0,pass,0,0
2021,play,80,15,1,pass,0,0
2021,play,70,5,2,run,0,0
2021,play,72,7,3,pass,0,0
2021,play,73,10,1,run,0,0
2021,play,69,6,2,pass,0,0
2021,play,65,2,3,pass,0,0
2021,play,51,10,1,run,0,0
2021,play,51,10,2,pass,0,0
2021,play,51,10,3,pass,0,0
2021,play,83,10,1,run,0,0
2021,play,78,5,2,pass,0,0
2021,play,75,2,3,pass,0,0
2021,play,71,10,1,pass,0,0
2021,play,52,10,1,pass,0,1
2021,play,75,10,1,run,0,0
2021,play,70,5,2,run,0,0
2021,play,67,2,3,pass,0,0
2021,play,98,10,1,pass,0,0
2021,play,70,10,1,run,0,0
2021,play,66,6,2,pass,0,0
2021,play,61,1,3,run,0,0
2021,play,59,10,1,run,0,0
2021,play,55,6,2,pass,0,0
2021,play,39,10,1,pass,0,0
2021,play,39,10,2,pass,0,0
2021,play,44,15,3,pass,0,0
2021,play,94,10,1,run,0,0
2021,play,89,5,2,pass,0,0
2021,play,79,10,1,pass,0,0
2021,play,79,10,2,pass,0,0
2021,play,60,10,1,pass,0,0
2021,play,32,10,1,pass,0,0
