team,season,plays,games,passRate,neutralPassRate
CAR,2023,1094,17,0.5951,0.5591
CIN,2023,1032,17,0.6444,0.6389
CLE,2023,1181,17,0.5648,0.5787
NYG,2023,1049,17,0.5720,0.5392
DAL,2023,1104,17,0.5951,0.6165
DET,2023,1117,17,0.5712,0.5561
KC,2023,1055,17,0.6265,0.6444
CHI,2023,1089,17,0.5197,0.5191
GB,2023,1041,17,0.5879,0.5523
BAL,2023,1064,17,0.5028,0.5498
HOU,2023,1078,17,0.5900,0.5648
IND,2023,1087,17,0.5704,0.5703
JAX,2023,1102,17,0.6034,0.5717
SEA,2023,984,17,0.6220,0.5974
LA,2023,1091,17,0.5674,0.5848
LV,2023,997,17,0.5988,0.5811
DEN,2023,1002,17,0.5629,0.5324
MIA,2023,1036,17,0.5763,0.6229
LAC,2023,1096,17,0.6159,0.5908
PHI,2023,1104,17,0.5462,0.5470
NE,2023,1016,17,0.5955,0.5616
PIT,2023,1008,17,0.5377,0.5018
SF,2023,996,17,0.5231,0.5357
MIN,2023,1063,17,0.6359,0.6084
TB,2023,1028,17,0.5944,0.5914
TEN,2023,984,17,0.5640,0.5339
NO,2023,1102,17,0.5835,0.5849
ARI,2024,1031,17,0.5548,0.5696
BUF,2024,1005,17,0.5313,0.5611
BAL,2024,1039,17,0.4793,0.5229
KC,2024,1069,17,0.5996,0.6257
NO,2024,1026,17,0.5760,0.5618
CAR,2024,987,17,0.5927,0.5365
DAL,2024,1095,17,0.6164,0.5926
CLE,2024,1121,17,0.6548,0.5758
SEA,2024,1018,17,0.6365,0.6114
DEN,2024,1038,17,0.5723,0.5822
GB,2024,1022,17,0.4941,0.4723
PHI,2024,1093,17,0.4511,0.4961
IND,2024,1034,17,0.5271,0.5017
HOU,2024,1045,17,0.5962,0.6107
MIA,2024,1076,17,0.5901,0.5542
JAX,2024,991,17,0.5893,0.5531
LA,2024,1028,17,0.5759,0.5446
DET,2024,1099,17,0.5296,0.5381
LAC,2024,998,17,0.5551,0.5671
LV,2024,1054,17,0.6480,0.5621
NYG,2024,1051,17,0.6089,0.5473
MIN,2024,1029,17,0.5802,0.5973
CIN,2024,1069,17,0.6558,0.6775
NE,2024,1021,17,0.5710,0.5359
NYJ,2024,1014,17,0.6440,0.5949
SF,2024,1014,17,0.5562,0.5494
ATL,2024,1073,17,0.5489,0.5583
PIT,2024,1066,17,0.5131,0.5449
TEN,2024,1030,17,0.5650,0.5188
CHI,2024,1059,17,0.6043,0.5483
TB,2024,1084,17,0.5655,0.5779
WAS,2024,1091,17,0.5280,0.5184
ARI,2025,1074,17,0.6611,0.6232
NO,2025,1064,17,0.5968,0.5809
BUF,2025,1065,17,0.5099,0.5022
BAL,2025,956,17,0.4874,0.4861
JAX,2025,1074,17,0.5615,0.5863
CAR,2025,996,17,0.5532,0.5114
CIN,2025,1049,17,0.6454,0.6160
CLE,2025,1028,17,0.5924,0.5221
DAL,2025,1104,17,0.5933,0.5737
PHI,2025,995,17,0.5347,0.5372
GB,2025,993,17,0.5227,0.5223
DET,2025,1051,17,0.5890,0.5728
HOU,2025,1078,17,0.5705,0.5661
LA,2025,1056,17,0.5843,0.6064
KC,2025,1048,17,0.6021,0.5947
LAC,2025,1080,17,0.5787,0.5662
LV,2025,942,17,0.6136,0.5711
NE,2025,1017,17,0.5418,0.5481
IND,2025,1011,17,0.5737,0.5803
MIA,2025,942,17,0.5499,0.5246
MIN,2025,943,17,0.5801,0.5539
CHI,2025,1096,17,0.5474,0.5331
WAS,2025,979,17,0.5148,0.5222
NYG,2025,1079,17,0.5338,0.5234
NYJ,2025,1009,17,0.5510,0.4529
PIT,2025,975,17,0.5949,0.5812
SEA,2025,997,17,0.5075,0.5187
SF,2025,1065,17,0.5662,0.5537
ATL,2025,1036,17,0.5512,0.5612
TB,2025,1065,17,0.5643,0.5113
TEN,2025,995,17,0.6261,0.5425
DEN,2025,1079,17,0.5931,0.5943
