season,week,gameId,offense,defense,half,startYard,result,plays,netYards,firstCall,firstYards,spread,total
2024,2,2024_02_CHI_HOU,CHI,HOU,2,70,Punt,3,7,pass,3,-6,45.5
2024,2,2024_02_CIN_KC,CIN,KC,1,70,Field goal,9,66,pass,8,-6.5,47.5
2024,2,2024_02_CIN_KC,KC,CIN,2,70,Touchdown,13,70,run,2,6.5,47.5
2024,2,2024_02_CLE_JAX,JAX,CLE,1,80,Punt,5,15,pass,9,3,41.5
2024,2,2024_02_CLE_JAX,CLE,JAX,2,70,Punt,3,6,pass,0,-3,41.5
2024,2,2024_02_IND_GB,GB,IND,1,70,Field goal,7,42,run,3,-3,41.5
2024,2,2024_02_IND_GB,IND,GB,2,70,Turnover on downs,6,16,run,3,3,41.5
2024,2,2024_02_LAC_CAR,LAC,CAR,1,67,Touchdown,9,67,pass,3,5,39
2024,2,2024_02_LAC_CAR,CAR,LAC,2,60,Field goal,5,40,pass,12,-5,39
2024,2,2024_02_LA_ARI,LA,ARI,1,49,Turnover on downs,4,9,run,9,1,47.5
2024,2,2024_02_LA_ARI,ARI,LA,2,70,Touchdown,8,70,pass,9,-1,47.5
2024,2,2024_02_LV_BAL,LV,BAL,1,76,Punt,3,-8,pass,-8,-9,41
2024,2,2024_02_LV_BAL,BAL,LV,2,70,Touchdown,6,70,run,14,9,41
2024,2,2024_02_NO_DAL,NO,DAL,1,80,Touchdown,7,80,run,1,-6.5,47
2024,2,2024_02_NO_DAL,DAL,NO,2,73,Field goal,9,61,run,3,6.5,47
2024,2,2024_02_NYG_WAS,WAS,NYG,1,73,Field goal,15,69,pass,-2,1.5,42.5
2024,2,2024_02_NYG_WAS,NYG,WAS,2,74,Turnover,4,39,pass,19,-1.5,42.5
2024,2,2024_02_NYJ_TEN,TEN,NYJ,1,70,Punt,3,6,run,3,-3.5,41.5
2024,2,2024_02_NYJ_TEN,NYJ,TEN,2,70,Touchdown,5,70,run,0,3.5,41.5
2024,2,2024_02_PIT_DEN,DEN,PIT,1,70,Punt,3,7,run,3,-3,36.5
